filename,tau,delta_p,dP_L,v,mu,rho,d,phi,f,Re_p,f_ergun,steps,converged,stalled,source
r3_phi0.60_seed0.npy,0.9,3e-05,1.57e-07,5.1e-07,0.133327339,0.99995504,6,0.603103496,3625135.202,2.29e-05,4694515.937,1500,True,False,lbm
r3_phi0.60_seed0.npy,0.9,5e-05,2.62e-07,8.5e-07,0.133323342,0.999925067,6,0.603103496,2175017.024,3.82e-05,2816627.111,1500,True,False,lbm
r3_phi0.60_seed0.npy,0.9,7e-05,3.66e-07,1.19e-06,0.133319346,0.999895093,6,0.603103496,1553537.803,5.35e-05,2011817.613,1500,True,False,lbm
r3_phi0.60_seed0.npy,0.9,0.0001,5.24e-07,1.7e-06,0.133313351,0.999850133,6,0.603103496,1087428.384,7.65e-05,1408210.488,1500,True,False,lbm
r3_phi0.60_seed0.npy,0.9,0.0003,1.57e-06,5.1e-06,0.133273387,0.9995504,6,0.603103496,362369.2624,0.000229538,469266.0534,1500,True,False,lbm
r3_phi0.60_seed0.npy,1.0,1e-06,5.24e-09,1.49e-08,0.166666417,0.9999985,6,0.603103496,142008227.3,5.35e-07,201170946.1,1500,True,False,lbm
r3_phi0.60_seed0.npy,1.0,5e-06,2.62e-08,7.44e-08,0.166665417,0.999992502,6,0.603103496,28401478.08,2.68e-06,40233952.52,1500,True,False,lbm
r3_phi0.60_seed0.npy,1.0,1e-05,5.24e-08,1.49e-07,0.166664167,0.999985004,6,0.603103496,14200634.43,5.35e-06,20116828.33,1500,True,False,lbm
r3_phi0.60_seed0.npy,1.0,3e-05,1.57e-07,4.46e-07,0.166659169,0.999955012,6,0.603103496,4733405.316,1.61e-05,6705412.19,1500,True,False,lbm
r3_phi0.60_seed0.npy,1.0,5e-05,2.62e-07,7.44e-07,0.16665417,0.999925019,6,0.603103496,2839959.49,2.68e-05,4023128.96,1500,True,False,lbm
r3_phi0.60_seed0.npy,1.0,7e-05,3.66e-07,1.04e-06,0.166649171,0.999895027,6,0.603103496,2028482.705,3.75e-05,2873579.002,1500,True,False,lbm
r3_phi0.60_seed0.npy,1.0,0.0001,5.24e-07,1.49e-06,0.166641673,0.999850039,6,0.603103496,1419875.112,5.36e-05,2011416.531,1500,True,False,lbm
r3_phi0.60_seed0.npy,1.0,0.0003,1.57e-06,4.46e-06,0.166591686,0.999550117,6,0.603103496,473152.156,0.000160701,670274.8853,1500,True,False,lbm
r3_phi0.60_seed0.npy,1.1,1e-06,5.24e-09,1.34e-08,0.1999997,0.9999985,6,0.603103496,174390085.8,4.03e-07,267516544.0,1500,True,False,lbm
r3_phi0.60_seed0.npy,1.1,5e-06,2.62e-08,6.71e-08,0.1999985,0.999992499,6,0.603103496,34877811.58,2.01e-06,53502993.11,1500,True,False,lbm
r3_phi0.60_seed0.npy,1.1,1e-05,5.24e-08,1.34e-07,0.199996999,0.999984997,6,0.603103496,17438777.3,4.03e-06,26751299.25,1500,True,False,lbm
r3_phi0.60_seed0.npy,1.1,3e-05,1.57e-07,4.03e-07,0.199990998,0.999954992,6,0.603103496,5812754.438,1.21e-05,8916836.667,1500,True,False,lbm
r3_phi0.60_seed0.npy,1.1,5e-05,2.62e-07,6.71e-07,0.199984997,0.999924986,6,0.603103496,3487549.86,2.01e-05,5349944.146,1500,True,False,lbm
r3_phi0.60_seed0.npy,1.1,7e-05,3.66e-07,9.4e-07,0.199978996,0.999894981,6,0.603103496,2491033.609,2.82e-05,3821275.921,1500,True,False,lbm
r3_phi0.60_seed0.npy,1.1,0.0001,5.24e-07,1.34e-06,0.199969995,0.999849973,6,0.603103496,1743646.416,4.03e-05,2674774.748,1500,True,False,lbm
r3_phi0.60_seed0.npy,1.1,0.0003,1.57e-06,4.03e-06,0.199909984,0.999549918,6,0.603103496,581044.0741,0.000120846,891328.4473,1500,True,False,lbm
synthetic_ergun_phi0.459_d6_Re1.0e+01,,,0.46238863633745697,0.27881084343439466,0.1666567055,1.0,6,0.45854,35.68938648118307,10.037790292250605,55.26983521147421,0,TRUE,FALSE,synthetic_inertial
synthetic_ergun_phi0.459_d6_Re1.9e+01,,,1.0333740399969418,0.5305701042798766,0.1666567055,1.0,6,0.45854,22.025371723436287,19.101665403311717,33.70744514637071,0,TRUE,FALSE,synthetic_inertial
synthetic_ergun_phi0.459_d6_Re3.5e+01,,,2.3399049535526335,0.9597252914849164,0.1666567055,1.0,6,0.45854,15.242478373652482,34.55217557333448,23.029479238203415,0,TRUE,FALSE,synthetic_inertial
synthetic_ergun_phi0.459_d6_Re6.6e+01,,,6.766635763740232,1.9003909820139597,0.1666567055,1.0,6,0.45854,11.241858858279238,68.41816450094028,16.495025580878664,0,TRUE,FALSE,synthetic_inertial
synthetic_ergun_phi0.459_d6_Re1.2e+02,,,15.55516271854981,3.3528319241316993,0.1666567055,1.0,6,0.45854,8.302373036424605,120.70916369332764,13.606956230498696,0,TRUE,FALSE,synthetic_inertial
